date	followers	following	medias
2017-04-15 04:01:06.596981	5888	525	96
2017-04-15 04:01:18.086716	5888	525	96
2017-04-15 04:02:45.855542	5888	525	96
2017-04-15 15:05:45.021579	5887	526	96
